Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,molly,40,0.5692640692640693,18,0.0,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type_to,relationship_type,30,0.5269480519480519,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type_to,slave,30,0.5269480519480519,18,0.0,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,benjamin aymar,34,0.5798460798460798,20,0.4920634920634921,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,female,22,0.45598845598845594,17,0.4444444444444444,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,firefighter,24,0.38311688311688313,24,0.3383838383838384,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,has_age,unknown,33,0.45598845598845594,31,0.373015873015873,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,unknown,33,0.5463869463869464,31,0.373015873015873,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,has_deathdate,unknown,33,0.39044289044289043,31,0.373015873015873,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,enslaved person,29,0.449554367201426,57,0.45555555555555555,0.0,0.5797386715376658
instance of,person,has_person_status,firefighter,29,0.449554367201426,24,0.3383838383838384,0.0,0.0
instance of,person,has_status_generating_event,event,26,0.4799102132435466,36,0.5777777777777778,0.0,0.0
instance of,person,has_status_generating_event,sale of estate of benjamin aymar,26,0.4799102132435466,21,0.5138888888888888,0.0,0.0
instance of,person,has_status_generating_event,blizzard of 1818,26,0.4799102132435466,18,0.4861111111111111,0.0,0.0
instance of,person,of estate of benjamin,"aymar'), has_status_generating_event(firefighter, 'blizzard of 1818')",44,0.5137085137085137,8,0.4915458937198068,0.41120705506761873,0.0
instance of,person,recorded_at,event,18,0.4545454545454546,36,0.5777777777777778,0.0,0.0
instance of,person,recorded_at,sale of estate of benjamin aymar,18,0.4545454545454546,21,0.5138888888888888,0.0,0.0
instance of,person,recorded_at,blizzard of 1818,18,0.4545454545454546,18,0.4861111111111111,0.0,0.0
instance of,person,of estate of benjamin,"aymar'), recorded_at(firefighter, 'blizzard of 1818')",44,0.5137085137085137,10,0.4077568134171908,0.41120705506761873,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.46581196581196577,0.0,0.0
instance of,person,has_race_or_color,african-american,36,0.5162210338680927,27,0.4861111111111111,0.0,0.0
instance of,person,the relations for which there is no information listed in the text,"file. the birth and death dates are mentioned in parenthesis after the agent name. for example: joseph vance lewis (december 25, 1853 – april 24, 1925), was a slave who was freed. here the birth date is december 25, 1853 and death date is april 24, 1925.  helpful answer: name record module:",21,0.5707070707070707,4,0.5624284077892324,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,molly williams,32,0.537878787878788,10,0.41269841269841273,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,williams,27,0.49242424242424243,14,0.0,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,molly,40,0.5692640692640693,18,0.0,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type_to,relationship_type,30,0.5269480519480519,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type_to,slave,30,0.5269480519480519,18,0.0,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,benjamin aymar,34,0.5798460798460798,20,0.4920634920634921,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,female,22,0.45598845598845594,17,0.4444444444444444,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,firefighter,24,0.38311688311688313,24,0.3383838383838384,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,has_age,unknown,33,0.45598845598845594,31,0.373015873015873,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,unknown,33,0.5463869463869464,31,0.373015873015873,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,has_deathdate,unknown,33,0.39044289044289043,31,0.373015873015873,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,enslaved person,29,0.449554367201426,57,0.45555555555555555,0.0,0.5797386715376658
instance of,person,has_person_status,firefighter,29,0.449554367201426,24,0.3383838383838384,0.0,0.0
instance of,person,has_status_generating_event,event,26,0.4799102132435466,36,0.5777777777777778,0.0,0.0
instance of,person,has_status_generating_event,sale of estate of benjamin aymar,26,0.4799102132435466,21,0.5138888888888888,0.0,0.0
instance of,person,has_status_generating_event,blizzard of 1818,26,0.4799102132435466,18,0.4861111111111111,0.0,0.0
instance of,person,of estate of benjamin,"aymar'), has_status_generating_event(firefighter, 'blizzard of 1818')",44,0.5137085137085137,8,0.4915458937198068,0.41120705506761873,0.0
instance of,person,recorded_at,event,18,0.4545454545454546,36,0.5777777777777778,0.0,0.0
instance of,person,recorded_at,sale of estate of benjamin aymar,18,0.4545454545454546,21,0.5138888888888888,0.0,0.0
instance of,person,recorded_at,blizzard of 1818,18,0.4545454545454546,18,0.4861111111111111,0.0,0.0
instance of,person,of estate of benjamin,"aymar'), recorded_at(firefighter, 'blizzard of 1818')",44,0.5137085137085137,10,0.4077568134171908,0.41120705506761873,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.46581196581196577,0.0,0.0
instance of,person,has_race_or_color,african-american,36,0.5162210338680927,27,0.4861111111111111,0.0,0.0
instance of,person,the relations for which there is no information listed in the text,"file. the birth and death dates are mentioned in parenthesis after the agent name. for example: joseph vance lewis (december 25, 1853 – april 24, 1925), was a slave who was freed. here the birth date is december 25, 1853 and death date is april 24, 1925.  helpful answer: name record module:",21,0.5707070707070707,4,0.5624284077892324,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,molly williams,32,0.537878787878788,10,0.41269841269841273,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,williams,27,0.49242424242424243,14,0.0,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,molly,40,0.5692640692640693,18,0.0,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type_to,relationship_type,30,0.5269480519480519,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type_to,slave,30,0.5269480519480519,18,0.0,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,benjamin aymar,34,0.5798460798460798,20,0.4920634920634921,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,female,22,0.45598845598845594,17,0.4444444444444444,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,firefighter,24,0.38311688311688313,24,0.3383838383838384,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,has_age,unknown,33,0.45598845598845594,31,0.373015873015873,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,unknown,33,0.5463869463869464,31,0.373015873015873,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,has_deathdate,unknown,33,0.39044289044289043,31,0.373015873015873,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,enslaved person,29,0.449554367201426,57,0.45555555555555555,0.0,0.5797386715376658
instance of,person,has_person_status,firefighter,29,0.449554367201426,24,0.3383838383838384,0.0,0.0
instance of,person,has_status_generating_event,event,26,0.4799102132435466,36,0.5777777777777778,0.0,0.0
instance of,person,has_status_generating_event,sale of estate of benjamin aymar,26,0.4799102132435466,21,0.5138888888888888,0.0,0.0
instance of,person,has_status_generating_event,blizzard of 1818,26,0.4799102132435466,18,0.4861111111111111,0.0,0.0
instance of,person,of estate of benjamin,"aymar'), has_status_generating_event(firefighter, 'blizzard of 1818')",44,0.5137085137085137,8,0.4915458937198068,0.41120705506761873,0.0
instance of,person,recorded_at,event,18,0.4545454545454546,36,0.5777777777777778,0.0,0.0
instance of,person,recorded_at,sale of estate of benjamin aymar,18,0.4545454545454546,21,0.5138888888888888,0.0,0.0
instance of,person,recorded_at,blizzard of 1818,18,0.4545454545454546,18,0.4861111111111111,0.0,0.0
instance of,person,of estate of benjamin,"aymar'), recorded_at(firefighter, 'blizzard of 1818')",44,0.5137085137085137,10,0.4077568134171908,0.41120705506761873,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.46581196581196577,0.0,0.0
instance of,person,has_race_or_color,african-american,36,0.5162210338680927,27,0.4861111111111111,0.0,0.0
instance of,person,the relations for which there is no information listed in the text,"file. the birth and death dates are mentioned in parenthesis after the agent name. for example: joseph vance lewis (december 25, 1853 – april 24, 1925), was a slave who was freed. here the birth date is december 25, 1853 and death date is april 24, 1925.  helpful answer",21,0.5707070707070707,4,0.5629629629629629,0.0,0.0
hasname,molly williams,record,module:,15,0.0,29,0.5476190476190476,0.0,0.0
hasname,molly williams,has_name,name,93,0.9708333333333333,22,0.44047619047619047,0.0,0.0
hasname,molly williams,has_name,molly williams,93,0.9708333333333333,100,1.0,0.0,1.0000000000000002
hasname,molly williams,has_surname,surname,78,0.9151515151515152,19,0.4047619047619047,0.0,0.0
hasname,molly williams,has_surname,williams,78,0.9151515151515152,73,0.7738095238095237,0.0,0.5797386715376658
hasname,molly williams,has_first_name,first_name,67,0.5476190476190476,25,0.5047619047619047,0.0,0.0
hasname,molly williams,has_first_name,molly,67,0.5476190476190476,53,0.8714285714285714,0.0,0.5797386715376658
hasname,molly williams,relationship record,module:,23,0.5106516290726817,29,0.5476190476190476,0.0,0.0
hasname,molly williams,has_interagent_relationship_type_to,relationship_type,29,0.6206349206349207,19,0.4170868347338936,0.0,0.0
hasname,molly williams,has_interagent_relationship_type_to,slave,29,0.6206349206349207,21,0.4238095238095238,0.0,0.0
hasname,molly williams,is_relationship_to,agent,16,0.43121693121693117,11,0.0,0.0,0.0
hasname,molly williams,is_relationship_to,benjamin aymar,16,0.43121693121693117,29,0.5634920634920635,0.0,0.0
hasname,molly williams,record,module:,15,0.0,29,0.5476190476190476,0.0,0.0
hasname,molly williams,has_sex,sex_type,57,0.8,9,0.3988095238095238,0.0,0.0
hasname,molly williams,has_sex,female,57,0.8,20,0.4920634920634921,0.0,0.0
hasname,molly williams,record,module:,15,0.0,29,0.5476190476190476,0.0,0.0
hasname,molly williams,has_occupation,occupation,38,0.6190476190476191,17,0.3936507936507936,0.0,0.0
hasname,molly williams,has_occupation,firefighter,38,0.6190476190476191,16,0.44155844155844154,0.0,0.0
hasname,molly williams,record,module:,15,0.0,29,0.5476190476190476,0.0,0.0
hasname,molly williams,has_age,age,71,0.8666666666666668,12,0.0,0.0,0.0
hasname,molly williams,has_age,unknown,71,0.8666666666666668,19,0.4761904761904762,0.0,0.0
hasname,molly williams,has_birthdate,date_of_birth,50,0.553113553113553,15,0.43223443223443225,0.0,0.0
hasname,molly williams,has_birthdate,unknown,50,0.553113553113553,19,0.4761904761904762,0.0,0.0
hasname,molly williams,has_deathdate,date_of_death,50,0.632967032967033,15,0.43223443223443225,0.0,0.0
hasname,molly williams,has_deathdate,unknown,50,0.632967032967033,19,0.4761904761904762,0.0,0.0
hasname,molly williams,status record,module:,30,0.442002442002442,29,0.5476190476190476,0.0,0.0
hasname,molly williams,has_person_status,enslaved person,42,0.6028011204481792,21,0.47142857142857136,0.0,0.0
hasname,molly williams,has_person_status,firefighter,42,0.6028011204481792,16,0.44155844155844154,0.0,0.0
hasname,molly williams,has_status_generating_event,event,35,0.6375661375661376,0,0.0,0.0,0.0
hasname,molly williams,has_status_generating_event,sale of estate of benjamin aymar,35,0.6375661375661376,22,0.4300595238095238,0.0,0.0
hasname,molly williams,has_status_generating_event,blizzard of 1818,35,0.6375661375661376,20,0.42857142857142855,0.0,0.0
hasname,molly williams,of estate of benjamin,"aymar'), has_status_generating_event(firefighter, 'blizzard of 1818')",29,0.41269841269841273,14,0.3909592822636301,0.0,0.0
hasname,molly williams,recorded_at,event,11,0.41125541125541126,0,0.0,0.0,0.0
hasname,molly williams,recorded_at,sale of estate of benjamin aymar,11,0.41125541125541126,22,0.4300595238095238,0.0,0.0
hasname,molly williams,recorded_at,blizzard of 1818,11,0.41125541125541126,20,0.42857142857142855,0.0,0.0
hasname,molly williams,of estate of benjamin,"aymar'), recorded_at(firefighter, 'blizzard of 1818')",29,0.41269841269841273,18,0.4487870619946091,0.0,0.0
hasname,molly williams,record,module:,15,0.0,29,0.5476190476190476,0.0,0.0
hasname,molly williams,has_race_or_color,race_or_color,42,0.6694677871148459,15,0.43223443223443225,0.0,0.0
hasname,molly williams,has_race_or_color,african-american,42,0.6694677871148459,20,0.42857142857142855,0.0,0.0
hasname,molly williams,the relations for which there is no information listed in the text,"file. the birth and death dates are mentioned in parenthesis after the agent name. for example: joseph vance lewis (december 25, 1853 – april 24, 1925), was a slave who was freed. here the birth date is december 25, 1853 and death date is april 24, 1925.  answer: the ontology based on the text is as follows: name record module:",16,0.53001443001443,7,0.5021822149481724,0.0,0.0
hasname,molly williams,has_name,name,93,0.9708333333333333,22,0.44047619047619047,0.0,0.0
hasname,molly williams,has_name,molly williams,93,0.9708333333333333,100,1.0,0.0,1.0000000000000002
hasname,molly williams,has_surname,surname,78,0.9151515151515152,19,0.4047619047619047,0.0,0.0
hasname,molly williams,has_surname,williams,78,0.9151515151515152,73,0.7738095238095237,0.0,0.5797386715376658
hasname,molly williams,has_first_name,first_name,67,0.5476190476190476,25,0.5047619047619047,0.0,0.0
hasname,molly williams,has_first_name,molly,67,0.5476190476190476,53,0.8714285714285714,0.0,0.5797386715376658
hasname,molly williams,relationship record,module:,23,0.5106516290726817,29,0.5476190476190476,0.0,0.0
hasname,molly williams,has_interagent_relationship_type_to,relationship_type,29,0.6206349206349207,19,0.4170868347338936,0.0,0.0
hasname,molly williams,has_interagent_relationship_type_to,slave,29,0.6206349206349207,21,0.4238095238095238,0.0,0.0
hasname,molly williams,is_relationship_to,agent,16,0.43121693121693117,11,0.0,0.0,0.0
hasname,molly williams,is_relationship_to,benjamin aymar,16,0.43121693121693117,29,0.5634920634920635,0.0,0.0
hasname,molly williams,record,module:,15,0.0,29,0.5476190476190476,0.0,0.0
hasname,molly williams,has_sex,sex_type,57,0.8,9,0.3988095238095238,0.0,0.0
hasname,molly williams,has_sex,female,57,0.8,20,0.4920634920634921,0.0,0.0
hasname,molly williams,record,module:,15,0.0,29,0.5476190476190476,0.0,0.0
hasname,molly williams,has_occupation,occupation,38,0.6190476190476191,17,0.3936507936507936,0.0,0.0
hasname,molly williams,has_occupation,firefighter,38,0.6190476190476191,16,0.44155844155844154,0.0,0.0
hasname,molly williams,record,module:,15,0.0,29,0.5476190476190476,0.0,0.0
hasname,molly williams,has_age,age,71,0.8666666666666668,12,0.0,0.0,0.0
hasname,molly williams,has_age,unknown,71,0.8666666666666668,19,0.4761904761904762,0.0,0.0
hasname,molly williams,has_birthdate,date_of_birth,50,0.553113553113553,15,0.43223443223443225,0.0,0.0
hasname,molly williams,has_birthdate,unknown,50,0.553113553113553,19,0.4761904761904762,0.0,0.0
hasname,molly williams,has_deathdate,date_of_death,50,0.632967032967033,15,0.43223443223443225,0.0,0.0
hasname,molly williams,has_deathdate,unknown,50,0.632967032967033,19,0.4761904761904762,0.0,0.0
hasname,molly williams,status record,module:,30,0.442002442002442,29,0.5476190476190476,0.0,0.0
hasname,molly williams,has_person_status,enslaved person,42,0.6028011204481792,21,0.47142857142857136,0.0,0.0
hasname,molly williams,has_person_status,firefighter,42,0.6028011204481792,16,0.44155844155844154,0.0,0.0
hasname,molly williams,has_status_generating_event,event,35,0.6375661375661376,0,0.0,0.0,0.0
hasname,molly williams,has_status_generating_event,sale of estate of benjamin aymar,35,0.6375661375661376,22,0.4300595238095238,0.0,0.0
hasname,molly williams,has_status_generating_event,blizzard of 1818,35,0.6375661375661376,20,0.42857142857142855,0.0,0.0
hasname,molly williams,of estate of benjamin,"aymar'), has_status_generating_event(firefighter, 'blizzard of 1818')",29,0.41269841269841273,14,0.3909592822636301,0.0,0.0
hasname,molly williams,recorded_at,event,11,0.41125541125541126,0,0.0,0.0,0.0
hasname,molly williams,recorded_at,sale of estate of benjamin aymar,11,0.41125541125541126,22,0.4300595238095238,0.0,0.0
hasname,molly williams,recorded_at,blizzard of 1818,11,0.41125541125541126,20,0.42857142857142855,0.0,0.0
hasname,molly williams,of estate of benjamin,"aymar'), recorded_at(firefighter, 'blizzard of 1818')",29,0.41269841269841273,18,0.4487870619946091,0.0,0.0
hasname,molly williams,record,module:,15,0.0,29,0.5476190476190476,0.0,0.0
hasname,molly williams,has_race_or_color,race_or_color,42,0.6694677871148459,15,0.43223443223443225,0.0,0.0
hasname,molly williams,has_race_or_color,african-american,42,0.6694677871148459,20,0.42857142857142855,0.0,0.0
hasname,molly williams,the relations for which there is no information listed in the text,"file. the birth and death dates are mentioned in parenthesis after the agent name. for example: joseph vance lewis (december 25, 1853 – april 24, 1925), was a slave who was freed. here the birth date is december 25, 1853 and death date is april 24, 1925.  helpful answer: name record module:",16,0.53001443001443,8,0.5039021688506224,0.0,0.0
hasname,molly williams,has_name,name,93,0.9708333333333333,22,0.44047619047619047,0.0,0.0
hasname,molly williams,has_name,molly williams,93,0.9708333333333333,100,1.0,0.0,1.0000000000000002
hasname,molly williams,has_surname,surname,78,0.9151515151515152,19,0.4047619047619047,0.0,0.0
hasname,molly williams,has_surname,williams,78,0.9151515151515152,73,0.7738095238095237,0.0,0.5797386715376658
hasname,molly williams,has_first_name,first_name,67,0.5476190476190476,25,0.5047619047619047,0.0,0.0
hasname,molly williams,has_first_name,molly,67,0.5476190476190476,53,0.8714285714285714,0.0,0.5797386715376658
hasname,molly williams,relationship record,module:,23,0.5106516290726817,29,0.5476190476190476,0.0,0.0
hasname,molly williams,has_interagent_relationship_type_to,relationship_type,29,0.6206349206349207,19,0.4170868347338936,0.0,0.0
hasname,molly williams,has_interagent_relationship_type_to,slave,29,0.6206349206349207,21,0.4238095238095238,0.0,0.0
hasname,molly williams,is_relationship_to,agent,16,0.43121693121693117,11,0.0,0.0,0.0
hasname,molly williams,is_relationship_to,benjamin aymar,16,0.43121693121693117,29,0.5634920634920635,0.0,0.0
hasname,molly williams,record,module:,15,0.0,29,0.5476190476190476,0.0,0.0
hasname,molly williams,has_sex,sex_type,57,0.8,9,0.3988095238095238,0.0,0.0
hasname,molly williams,has_sex,female,57,0.8,20,0.4920634920634921,0.0,0.0
hasname,molly williams,record,module:,15,0.0,29,0.5476190476190476,0.0,0.0
hasname,molly williams,has_occupation,occupation,38,0.6190476190476191,17,0.3936507936507936,0.0,0.0
hasname,molly williams,has_occupation,firefighter,38,0.6190476190476191,16,0.44155844155844154,0.0,0.0
hasname,molly williams,record,module:,15,0.0,29,0.5476190476190476,0.0,0.0
hasname,molly williams,has_age,age,71,0.8666666666666668,12,0.0,0.0,0.0
hasname,molly williams,has_age,unknown,71,0.8666666666666668,19,0.4761904761904762,0.0,0.0
hasname,molly williams,has_birthdate,date_of_birth,50,0.553113553113553,15,0.43223443223443225,0.0,0.0
hasname,molly williams,has_birthdate,unknown,50,0.553113553113553,19,0.4761904761904762,0.0,0.0
hasname,molly williams,has_deathdate,date_of_death,50,0.632967032967033,15,0.43223443223443225,0.0,0.0
hasname,molly williams,has_deathdate,unknown,50,0.632967032967033,19,0.4761904761904762,0.0,0.0
hasname,molly williams,status record,module:,30,0.442002442002442,29,0.5476190476190476,0.0,0.0
hasname,molly williams,has_person_status,enslaved person,42,0.6028011204481792,21,0.47142857142857136,0.0,0.0
hasname,molly williams,has_person_status,firefighter,42,0.6028011204481792,16,0.44155844155844154,0.0,0.0
hasname,molly williams,has_status_generating_event,event,35,0.6375661375661376,0,0.0,0.0,0.0
hasname,molly williams,has_status_generating_event,sale of estate of benjamin aymar,35,0.6375661375661376,22,0.4300595238095238,0.0,0.0
hasname,molly williams,has_status_generating_event,blizzard of 1818,35,0.6375661375661376,20,0.42857142857142855,0.0,0.0
hasname,molly williams,of estate of benjamin,"aymar'), has_status_generating_event(firefighter, 'blizzard of 1818')",29,0.41269841269841273,14,0.3909592822636301,0.0,0.0
hasname,molly williams,recorded_at,event,11,0.41125541125541126,0,0.0,0.0,0.0
hasname,molly williams,recorded_at,sale of estate of benjamin aymar,11,0.41125541125541126,22,0.4300595238095238,0.0,0.0
hasname,molly williams,recorded_at,blizzard of 1818,11,0.41125541125541126,20,0.42857142857142855,0.0,0.0
hasname,molly williams,of estate of benjamin,"aymar'), recorded_at(firefighter, 'blizzard of 1818')",29,0.41269841269841273,18,0.4487870619946091,0.0,0.0
