Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,on the,"text, the ontology can be populated as follows:",35,0.5909090909090909,15,0.5212765957446809,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,jerry voorhis,24,0.46645021645021645,32,0.576923076923077,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,jerry voorhis,18,0.4239789196310935,32,0.576923076923077,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
instance of,person,fullnameasstring,jerry voorhis,30,0.4545454545454546,32,0.576923076923077,0.0,0.0
instance of,person,hassurnameasstring,xsd: string,28,0.4452861952861953,24,0.5050505050505051,0.0,0.0
instance of,person,hassurnameasstring,voorhis,28,0.4452861952861953,31,0.373015873015873,0.0,0.0
instance of,person,hasfirstnameasstring,xsd: string,32,0.5192640692640692,24,0.5050505050505051,0.0,0.0
instance of,person,hasfirstnameasstring,jerry,32,0.5192640692640692,36,0.5777777777777778,0.0,0.0
instance of,person,hasdescription,description,24,0.47056277056277057,47,0.47979797979797983,0.0,0.0
instance of,person,hasdescription,jerry voorhis was a congressman,24,0.47056277056277057,27,0.5152329749103942,0.0,0.0
instance of,person,hasdescription,teacher,24,0.47056277056277057,31,0.4365079365079365,0.0,0.0
instance of,person,hasdescription,and social worker. he was also involved in founding a boys academy and an orphanage.,24,0.47056277056277057,11,0.4976190476190476,0.0,0.0
instance of,person,voorhis was a,"congressman, teacher, and social worker. he was also involved in founding a boys academy and an orphanage."")",33,0.47377622377622375,9,0.49320987654320986,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,referstoplaceoforigin,place,44,0.5137085137085137,36,0.45555555555555555,0.0,0.0
instance of,person,referstoplaceoforigin,ottawa,44,0.5137085137085137,17,0.0,0.0,0.0
instance of,person,referstoplaceoforigin,kansas,44,0.5137085137085137,17,0.4444444444444444,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasbirthdate,date_of_birth,35,0.5570707070707072,21,0.49572649572649574,0.0,0.0
