Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,lucinda davis,24,0.46645021645021645,11,0.41452991452991456,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,lucinda davis,18,0.4239789196310935,11,0.41452991452991456,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
instance of,person,fullnameasstring,lucinda davis,30,0.4545454545454546,11,0.41452991452991456,0.0,0.0
instance of,person,hassurnameasstring,xsd: string,28,0.4452861952861953,24,0.5050505050505051,0.0,0.0
instance of,person,hassurnameasstring,davis,28,0.4452861952861953,18,0.45555555555555555,0.0,0.0
instance of,person,hasfirstnameasstring,xsd: string,32,0.5192640692640692,24,0.5050505050505051,0.0,0.0
instance of,person,hasfirstnameasstring,lucinda,32,0.5192640692640692,15,0.4365079365079365,0.0,0.0
instance of,person,hasdescription,description,24,0.47056277056277057,47,0.47979797979797983,0.0,0.0
instance of,person,hasdescription,born around 1848 and lived past 1937. sold to tuskaya-hiniha,24,0.47056277056277057,12,0.5333333333333333,0.0,0.0
instance of,person,hasdescription,a creek indian,24,0.47056277056277057,20,0.4603174603174603,0.0,0.0
instance of,person,hasdescription,by her white father. eventually gained freedom. worked as a caregiver for tuskaya-hiniha's baby. became blind in old age. moved to live with a woman named josephine after her husband's death. died in tulsa,24,0.47056277056277057,5,0.5525745257452574,0.0,0.0
instance of,person,hasdescription,oklahoma,24,0.47056277056277057,14,0.4305555555555555,0.0,0.0
instance of,person,hasdescription,under her daughter's care.,24,0.47056277056277057,19,0.42735042735042733,0.0,0.0
