Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,preston taylor,24,0.46645021645021645,50,0.7785714285714286,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,preston taylor,18,0.4239789196310935,50,0.7785714285714286,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
instance of,person,fullnameasstring,preston taylor,30,0.4545454545454546,50,0.7785714285714286,0.0,0.0
instance of,person,hassurnameasstring,xsd: string,28,0.4452861952861953,24,0.5050505050505051,0.0,0.0
instance of,person,hassurnameasstring,taylor,28,0.4452861952861953,17,0.4444444444444444,0.0,0.0
instance of,person,hasfirstnameasstring,xsd: string,32,0.5192640692640692,24,0.5050505050505051,0.0,0.0
instance of,person,hasfirstnameasstring,preston,32,0.5192640692640692,77,0.9071428571428571,0.0,0.0
instance of,person,hasdescription,description,24,0.47056277056277057,47,0.47979797979797983,0.0,0.0
instance of,person,hasdescription,african-american businessman,24,0.47056277056277057,24,0.4246031746031746,0.0,0.0
instance of,person,hasdescription,minister and philanthropist. he was considered one of the most influential leaders of nashville,24,0.47056277056277057,12,0.5210526315789473,0.0,0.0
instance of,person,hasdescription,tennessee's black community.,24,0.47056277056277057,24,0.4246031746031746,0.0,0.0
instance of,person,and,"philanthropist. he was considered one of the most influential leaders of nashville, tennessee's black community."")",29,0.44949494949494945,10,0.5730994152046783,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,referstoplaceoforigin,place,44,0.5137085137085137,36,0.45555555555555555,0.0,0.0
