Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,henry box brown,32,0.537878787878788,38,0.5611111111111111,0.0,0.0
instance of,person,box,"brown, ""henry box brown"")",14,0.0,26,0.44222222222222224,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,brown,27,0.49242424242424243,55,0.7000000000000001,0.0,0.0
instance of,person,box,"brown, ""brown"")",14,0.0,29,0.5666666666666667,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,henry,40,0.5692640692640693,36,0.5777777777777778,0.0,0.0
instance of,person,box,"brown, ""henry"")",14,0.0,29,0.5666666666666667,0.0,0.0
instance of,person,has_alternate_name,alternate_name,34,0.5107744107744108,30,0.5714285714285715,0.0,0.0
instance of,person,has_alternate_name,prof. h. box brown,34,0.5107744107744108,33,0.5555555555555555,0.0,0.0
instance of,person,has_alternate_name,african prince,34,0.5107744107744108,30,0.4920634920634921,0.0,0.0
instance of,person,box,"brown, ""prof. h. box brown""), has_alternate_name(henry box brown, ""african prince"").",14,0.0,11,0.5238095238095238,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type_to,relationship_type,30,0.5269480519480519,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type_to,spouse,30,0.5269480519480519,33,0.5555555555555555,0.0,0.0
instance of,person,box,"brown, ""spouse"")",14,0.0,27,0.5555555555555555,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,nancy,34,0.5798460798460798,18,0.0,0.0,0.0
instance of,person,is_relationship_to,jane floyd,34,0.5798460798460798,25,0.48888888888888893,0.0,0.0
instance of,person,box,"brown, ""nancy""), is_relationship_to(henry box brown, ""jane floyd"").",14,0.0,14,0.5854063018242123,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,participant_role_type,32,0.5668831168831169,22,0.5357142857142857,0.0,0.0
instance of,person,has_participant_role,anti-slavery movement participant,32,0.5668831168831169,21,0.5282828282828284,0.0,0.0
instance of,person,has_participant_role,performer in the british show circuit,32,0.5668831168831169,23,0.6561561561561562,0.0,0.0
instance of,person,box,"brown, ""anti-slavery movement participant""), has_participant_role(henry box brown, ""performer in the british show circuit"").",14,0.0,8,0.57168458781362,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,male,22,0.45598845598845594,20,0.47222222222222215,0.0,0.0
instance of,person,box,"brown, ""male"").",14,0.0,29,0.5666666666666667,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,slave,24,0.38311688311688313,18,0.0,0.0,0.0
instance of,person,has_occupation,abolitionist speaker,24,0.38311688311688313,23,0.4388888888888889,0.0,0.0
instance of,person,has_occupation,magician,24,0.38311688311688313,14,0.4305555555555555,0.0,0.0
instance of,person,has_occupation,showman,24,0.38311688311688313,46,0.5396825396825397,0.0,0.0
instance of,person,box,"brown, ""slave, abolitionist speaker, magician, showman"").",14,0.0,19,0.5070175438596491,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,around 1815,33,0.5463869463869464,35,0.5909090909090909,0.0,0.0
instance of,person,box,"brown, ""around 1815"")",14,0.0,22,0.5476190476190476,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,has_deathdate,june 15,33,0.39044289044289043,15,0.4365079365079365,0.0,0.0
instance of,person,has_deathdate,1897,33,0.39044289044289043,0,0.0,0.0,0.0
instance of,person,box,"brown, ""june 15, 1897"").",14,0.0,20,0.4444444444444444,0.0,0.0
